date,jobcountry,pct_chng_feb_1,variable,display_name
2020-02-01,DE,0,total postings,Accounting
2020-02-02,DE,0.06,total postings,Accounting
2020-02-03,DE,0.18,total postings,Accounting
2020-02-04,DE,-0.57,total postings,Accounting
2020-02-05,DE,-0.81,total postings,Accounting
2020-02-06,DE,-1.17,total postings,Accounting
2020-02-07,DE,-1.51,total postings,Accounting
2020-02-08,DE,-1.83,total postings,Accounting
2020-02-09,DE,-2.25,total postings,Accounting
2020-02-10,DE,-2.74,total postings,Accounting
2020-02-11,DE,-2.57,total postings,Accounting
2020-02-12,DE,-3.13,total postings,Accounting
2020-02-13,DE,-3.68,total postings,Accounting
2020-02-14,DE,-4.01,total postings,Accounting
2020-02-15,DE,-4.86,total postings,Accounting
2020-02-16,DE,-6.09,total postings,Accounting
