date,cities,pct_chng_feb_1
2020-02-03,Gloucester,0.75
2020-02-03,Manchester,0.46
2020-02-03,Nottingham,0.05
2020-02-03,Portsmouth,-0.11
2020-02-03,Sunderland,0.85
2020-02-03,Warrington,1.29
2020-02-03,Bournemouth,0.48
2020-02-03,Northampton,-0.5
2020-02-03,Southampton,0.55
2020-02-03,Huddersfield,0.85
2020-02-03,Peterborough,-0.07
2020-02-03,Middlesbrough,-0.47
2020-02-03,Milton Keynes,0.3
2020-02-04,Hull,-0.02
2020-02-04,York,1.38
2020-02-04,Derby,1.36
2020-02-04,Leeds,1
2020-02-04,Luton,0.68
2020-02-04,Stoke,-0.05
2020-02-04,Wigan,0.66
2020-02-04,Dundee,0.88
2020-02-04,Exeter,0.7
2020-02-04,London,0.16
2020-02-04,Oxford,-0.51
2020-02-04,Slough,0.32
2020-02-04,Belfast,-0.5
2020-02-04,Bristol,-0.26
2020-02-04,Burnley,-0.94
2020-02-04,Cardiff,0.98
2020-02-04,Chatham,2.03
2020-02-04,Crawley,1.09
2020-02-04,Glasgow,0.17
2020-02-04,Ipswich,0.26
2020-02-04,Newport,0.06
2020-02-04,Norwich,0.42
2020-02-04,Preston,-1.33
2020-02-04,Reading,-0.18
2020-02-04,Swansea,0.6
2020-02-04,Swindon,1.52
2020-02-04,Telford,1.48
2020-02-04,Aberdeen,0.28
2020-02-04,Barnsley,0.66
2020-02-04,Basildon,-0.53
2020-02-04,Bradford,3.02
2020-02-04,Brighton,0.45
2020-02-04,Coventry,0.77
2020-02-04,Plymouth,1.98
2020-02-04,Southend,0.19
2020-02-04,Worthing,0.73
2020-02-04,Aldershot,0.41
2020-02-04,Blackburn,-1.44
2020-02-04,Blackpool,0.52
2020-02-04,Cambridge,-0.44
2020-02-04,Doncaster,0.09
2020-02-04,Edinburgh,0.23
2020-02-04,Leicester,-1.01
2020-02-04,Liverpool,1.95
2020-02-04,Mansfield,1.2
2020-02-04,Newcastle,1.5
2020-02-04,Sheffield,0.36
2020-02-04,Wakefield,0.41
2020-02-04,Birkenhead,0.05
2020-02-04,Birmingham,2.12
2020-02-04,Gloucester,1.1
2020-02-04,Manchester,0.69
2020-02-04,Nottingham,-0.2
2020-02-04,Portsmouth,-0.09
2020-02-04,Sunderland,1.1
2020-02-04,Warrington,2.01
2020-02-04,Bournemouth,0.74
2020-02-04,Northampton,-0.61
2020-02-04,Southampton,0.61
2020-02-04,Huddersfield,0.97
2020-02-04,Peterborough,-0.07
2020-02-04,Middlesbrough,-0.74
2020-02-04,Milton Keynes,0.42
2020-02-05,Hull,0.31
2020-02-05,York,2.13
2020-02-05,Derby,2.1
2020-02-05,Leeds,1.23
2020-02-05,Luton,1.06
2020-02-05,Stoke,-0.02
2020-02-05,Wigan,0.74
2020-02-05,Dundee,1.02
2020-02-05,Exeter,1.14
2020-02-05,London,0.35
2020-02-05,Oxford,-0.22
2020-02-05,Slough,0.56
2020-02-05,Belfast,-0.2
2020-02-05,Bristol,-0.34
2020-02-05,Burnley,-1.62
2020-02-05,Cardiff,1.48
2020-02-05,Chatham,2.54
2020-02-05,Crawley,1.49
2020-02-05,Glasgow,0.52
2020-02-05,Ipswich,0.73
2020-02-05,Newport,0.38
2020-02-05,Norwich,0.41
2020-02-05,Preston,-1.59
2020-02-05,Reading,-0.04
2020-02-05,Swansea,0.86
2020-02-05,Swindon,2.17
2020-02-05,Telford,1.87
2020-02-05,Aberdeen,0.58
2020-02-05,Barnsley,0.6
2020-02-05,Basildon,-0.59
2020-02-05,Bradford,4.35
2020-02-05,Brighton,0.89
2020-02-05,Coventry,1.22
2020-02-05,Plymouth,2.3
2020-02-05,Southend,-0.03
2020-02-05,Worthing,1.37
2020-02-05,Aldershot,0.52
