date,jobcountry,indeed_job_postings_index,variable,display_name
2020-05-31,GB,43.69,total postings,Accounting
2020-06-01,GB,43.82,total postings,Accounting
2020-06-02,GB,43.61,total postings,Accounting
2020-06-03,GB,43.67,total postings,Accounting
2020-06-04,GB,43.53,total postings,Accounting
2020-06-05,GB,43.56,total postings,Accounting
2020-06-06,GB,43.55,total postings,Accounting
2020-06-07,GB,43.28,total postings,Accounting
2020-06-08,GB,42.83,total postings,Accounting
2020-06-09,GB,42.39,total postings,Accounting
2020-06-10,GB,41.79,total postings,Accounting
2020-06-11,GB,41.62,total postings,Accounting
2020-06-12,GB,41.48,total postings,Accounting
2020-06-13,GB,41.33,total postings,Accounting
2020-06-14,GB,41.2,total postings,Accounting
2020-06-15,GB,41.02,total postings,Accounting
2020-06-16,GB,41.02,total postings,Accounting
2020-06-17,GB,41.18,total postings,Accounting
2020-06-18,GB,41.32,total postings,Accounting
2020-06-19,GB,41.38,total postings,Accounting
2020-06-20,GB,41.46,total postings,Accounting
2020-06-21,GB,41.64,total postings,Accounting
2020-06-22,GB,41.84,total postings,Accounting
2020-06-23,GB,41.89,total postings,Accounting
2020-06-24,GB,41.87,total postings,Accounting
2020-06-25,GB,41.84,total postings,Accounting
2020-06-26,GB,41.9,total postings,Accounting
2020-06-27,GB,41.89,total postings,Accounting
2020-06-28,GB,41.7,total postings,Accounting
2020-06-29,GB,41.53,total postings,Accounting
2020-06-30,GB,41.33,total postings,Accounting
2020-07-01,GB,41.09,total postings,Accounting
2020-07-02,GB,40.81,total postings,Accounting
2020-07-03,GB,40.59,total postings,Accounting
2020-07-04,GB,40.44,total postings,Accounting
2020-07-05,GB,40.37,total postings,Accounting
2020-07-06,GB,40.23,total postings,Accounting
2020-07-07,GB,40.14,total postings,Accounting
2020-07-08,GB,40.13,total postings,Accounting
2020-07-09,GB,40.18,total postings,Accounting
2020-07-10,GB,40.08,total postings,Accounting
2020-07-11,GB,39.89,total postings,Accounting
2020-07-12,GB,39.86,total postings,Accounting
2020-07-13,GB,39.81,total postings,Accounting
2020-07-14,GB,39.77,total postings,Accounting
2020-07-15,GB,39.59,total postings,Accounting
2020-07-16,GB,39.49,total postings,Accounting
2020-07-17,GB,39.43,total postings,Accounting
2020-07-18,GB,39.54,total postings,Accounting
2020-07-19,GB,39.48,total postings,Accounting
2020-07-20,GB,39.49,total postings,Accounting
2020-07-21,GB,39.54,total postings,Accounting
2020-07-22,GB,39.55,total postings,Accounting
2020-07-23,GB,39.49,total postings,Accounting
2020-07-24,GB,39.51,total postings,Accounting
2020-07-25,GB,39.5,total postings,Accounting
2020-07-26,GB,39.41,total postings,Accounting
2020-07-27,GB,39.34,total postings,Accounting
2020-07-28,GB,39.27,total postings,Accounting
2020-07-29,GB,39.31,total postings,Accounting
2020-07-30,GB,39.26,total postings,Accounting
2020-07-31,GB,39.19,total postings,Accounting
2020-08-01,GB,39.03,total postings,Accounting
2020-08-02,GB,38.94,total postings,Accounting
2020-08-03,GB,38.8,total postings,Accounting
2020-08-04,GB,38.58,total postings,Accounting
2020-08-05,GB,38.43,total postings,Accounting
2020-08-06,GB,38.35,total postings,Accounting
2020-08-07,GB,38.18,total postings,Accounting
2020-08-08,GB,38.12,total postings,Accounting
2020-08-09,GB,38.03,total postings,Accounting
2020-08-10,GB,37.95,total postings,Accounting
2020-08-11,GB,37.94,total postings,Accounting
2020-08-12,GB,37.85,total postings,Accounting
2020-08-13,GB,37.85,total postings,Accounting
2020-08-14,GB,37.96,total postings,Accounting
2020-08-15,GB,37.98,total postings,Accounting
2020-08-16,GB,38.13,total postings,Accounting
2020-08-17,GB,38.34,total postings,Accounting
2020-08-18,GB,38.62,total postings,Accounting
2020-08-19,GB,38.92,total postings,Accounting
2020-08-20,GB,39.21,total postings,Accounting
2020-08-21,GB,39.42,total postings,Accounting
2020-08-22,GB,39.73,total postings,Accounting
2020-08-23,GB,39.89,total postings,Accounting
2020-08-24,GB,40,total postings,Accounting
2020-08-25,GB,40.1,total postings,Accounting
2020-08-26,GB,40.31,total postings,Accounting
2020-08-27,GB,40.42,total postings,Accounting
2020-08-28,GB,40.42,total postings,Accounting
2020-08-29,GB,40.61,total postings,Accounting
2020-08-30,GB,40.9,total postings,Accounting
2020-08-31,GB,41.12,total postings,Accounting
2020-09-01,GB,41.26,total postings,Accounting
2020-09-02,GB,41.25,total postings,Accounting
2020-09-03,GB,41.3,total postings,Accounting
2020-09-04,GB,41.58,total postings,Accounting
2020-09-05,GB,41.66,total postings,Accounting
2020-09-06,GB,41.66,total postings,Accounting
2020-09-07,GB,41.79,total postings,Accounting
2020-09-08,GB,41.91,total postings,Accounting
2020-09-09,GB,42.06,total postings,Accounting
2020-09-10,GB,42.26,total postings,Accounting
2020-09-11,GB,42.49,total postings,Accounting
2020-09-12,GB,42.64,total postings,Accounting
2020-09-13,GB,42.81,total postings,Accounting
2020-09-14,GB,42.87,total postings,Accounting
2020-09-15,GB,42.89,total postings,Accounting
2020-09-16,GB,42.87,total postings,Accounting
2020-09-17,GB,42.94,total postings,Accounting
2020-09-18,GB,42.92,total postings,Accounting
2020-09-19,GB,42.85,total postings,Accounting
2020-09-20,GB,42.84,total postings,Accounting
2020-09-21,GB,42.78,total postings,Accounting
2020-09-22,GB,42.87,total postings,Accounting
2020-09-23,GB,42.98,total postings,Accounting
2020-09-24,GB,42.91,total postings,Accounting
2020-09-25,GB,42.91,total postings,Accounting
2020-09-26,GB,43.02,total postings,Accounting
2020-09-27,GB,43.07,total postings,Accounting
2020-09-28,GB,43.24,total postings,Accounting
2020-09-29,GB,43.38,total postings,Accounting
2020-09-30,GB,43.53,total postings,Accounting
2020-10-01,GB,43.6,total postings,Accounting
2020-10-02,GB,43.52,total postings,Accounting
2020-10-03,GB,43.55,total postings,Accounting
2020-10-04,GB,43.58,total postings,Accounting
2020-10-05,GB,43.58,total postings,Accounting
2020-10-06,GB,43.52,total postings,Accounting
2020-10-07,GB,43.66,total postings,Accounting
2020-10-08,GB,43.89,total postings,Accounting
2020-10-09,GB,44.18,total postings,Accounting
2020-10-10,GB,44.19,total postings,Accounting
2020-10-11,GB,44.33,total postings,Accounting
2020-10-12,GB,44.46,total postings,Accounting
2020-10-13,GB,44.5,total postings,Accounting
2020-10-14,GB,44.54,total postings,Accounting
2020-10-15,GB,44.78,total postings,Accounting
2020-10-16,GB,44.92,total postings,Accounting
2020-10-17,GB,45.25,total postings,Accounting
2020-10-18,GB,45.34,total postings,Accounting
2020-10-19,GB,45.54,total postings,Accounting
2020-10-20,GB,45.8,total postings,Accounting
2020-10-21,GB,45.97,total postings,Accounting
2020-10-22,GB,46.04,total postings,Accounting
2020-10-23,GB,46.16,total postings,Accounting
2020-10-24,GB,46.21,total postings,Accounting
2020-10-25,GB,46.41,total postings,Accounting
2020-10-26,GB,46.36,total postings,Accounting
2020-10-27,GB,46.47,total postings,Accounting
2020-10-28,GB,46.43,total postings,Accounting
2020-10-29,GB,46.42,total postings,Accounting
2020-10-30,GB,46.42,total postings,Accounting
2020-10-31,GB,46.35,total postings,Accounting
2020-11-01,GB,46.28,total postings,Accounting
2020-11-02,GB,46.32,total postings,Accounting
2020-11-03,GB,46.07,total postings,Accounting
2020-11-04,GB,45.91,total postings,Accounting
2020-11-05,GB,45.6,total postings,Accounting
2020-11-06,GB,45.42,total postings,Accounting
2020-11-07,GB,45.4,total postings,Accounting
2020-11-08,GB,45.36,total postings,Accounting
2020-11-09,GB,45.34,total postings,Accounting
2020-11-10,GB,45.52,total postings,Accounting
2020-11-11,GB,45.67,total postings,Accounting
2020-11-12,GB,45.92,total postings,Accounting
2020-11-13,GB,46.02,total postings,Accounting
2020-11-14,GB,45.97,total postings,Accounting
2020-11-15,GB,46.18,total postings,Accounting
2020-11-16,GB,46.35,total postings,Accounting
2020-11-17,GB,46.56,total postings,Accounting
2020-11-18,GB,46.69,total postings,Accounting
2020-11-19,GB,46.82,total postings,Accounting
2020-11-20,GB,46.92,total postings,Accounting
2020-11-21,GB,47.17,total postings,Accounting
2020-11-22,GB,47.26,total postings,Accounting
2020-11-23,GB,47.35,total postings,Accounting
2020-11-24,GB,47.32,total postings,Accounting
2020-11-25,GB,47.53,total postings,Accounting
2020-11-26,GB,47.78,total postings,Accounting
2020-11-27,GB,48.1,total postings,Accounting
2020-11-28,GB,48.39,total postings,Accounting
2020-11-29,GB,48.61,total postings,Accounting
2020-11-30,GB,48.84,total postings,Accounting
2020-12-01,GB,49.1,total postings,Accounting
2020-12-02,GB,49.26,total postings,Accounting
2020-12-03,GB,49.43,total postings,Accounting
2020-12-04,GB,49.54,total postings,Accounting
2020-12-05,GB,49.67,total postings,Accounting
2020-12-06,GB,49.77,total postings,Accounting
2020-12-07,GB,49.87,total postings,Accounting
2020-12-08,GB,50,total postings,Accounting
2020-12-09,GB,50.13,total postings,Accounting
2020-12-10,GB,50.13,total postings,Accounting
2020-12-11,GB,50.18,total postings,Accounting
2020-12-12,GB,50.11,total postings,Accounting
2020-12-13,GB,50.24,total postings,Accounting
2020-12-14,GB,50.38,total postings,Accounting
2020-12-15,GB,50.52,total postings,Accounting
2020-12-16,GB,50.65,total postings,Accounting
2020-12-17,GB,50.7,total postings,Accounting
2020-12-18,GB,50.93,total postings,Accounting
2020-12-19,GB,51.18,total postings,Accounting
2020-12-20,GB,51.27,total postings,Accounting
2020-12-21,GB,51.41,total postings,Accounting
2020-12-22,GB,51.39,total postings,Accounting
2020-12-23,GB,51.56,total postings,Accounting
2020-12-24,GB,51.87,total postings,Accounting
2020-12-25,GB,51.98,total postings,Accounting
2020-12-26,GB,52.05,total postings,Accounting
2020-12-27,GB,52.1,total postings,Accounting
2020-12-28,GB,52.18,total postings,Accounting
2020-12-29,GB,52.35,total postings,Accounting
2020-12-30,GB,52.26,total postings,Accounting
2020-12-31,GB,52.12,total postings,Accounting
2021-01-01,GB,51.92,total postings,Accounting
2021-01-02,GB,51.61,total postings,Accounting
2021-01-03,GB,51.08,total postings,Accounting
2021-01-04,GB,50.49,total postings,Accounting
2021-01-05,GB,49.92,total postings,Accounting
2021-01-06,GB,49.55,total postings,Accounting
2021-01-07,GB,49.26,total postings,Accounting
2021-01-08,GB,49.19,total postings,Accounting
2021-01-09,GB,49.29,total postings,Accounting
2021-01-10,GB,49.58,total postings,Accounting
2021-01-11,GB,49.86,total postings,Accounting
2021-01-12,GB,50.11,total postings,Accounting
2021-01-13,GB,50.55,total postings,Accounting
2021-01-14,GB,50.94,total postings,Accounting
2021-01-15,GB,50.98,total postings,Accounting
2021-01-16,GB,51.21,total postings,Accounting
2021-01-17,GB,51.44,total postings,Accounting
2021-01-18,GB,51.65,total postings,Accounting
2021-01-19,GB,51.99,total postings,Accounting
2021-01-20,GB,51.96,total postings,Accounting
2021-01-21,GB,51.91,total postings,Accounting
2021-01-22,GB,52.25,total postings,Accounting
2021-01-23,GB,52.29,total postings,Accounting
2021-01-24,GB,52.45,total postings,Accounting
2021-01-25,GB,52.6,total postings,Accounting
2021-01-26,GB,52.51,total postings,Accounting
2021-01-27,GB,52.69,total postings,Accounting
2021-01-28,GB,52.71,total postings,Accounting
2021-01-29,GB,52.57,total postings,Accounting
2021-01-30,GB,52.62,total postings,Accounting
2021-01-31,GB,52.48,total postings,Accounting
2021-02-01,GB,52.36,total postings,Accounting
2021-02-02,GB,52.48,total postings,Accounting
2021-02-03,GB,52.51,total postings,Accounting
2021-02-04,GB,52.75,total postings,Accounting
2021-02-05,GB,52.99,total postings,Accounting
2021-02-06,GB,53.19,total postings,Accounting
2021-02-07,GB,53.42,total postings,Accounting
2021-02-08,GB,53.64,total postings,Accounting
2021-02-09,GB,53.94,total postings,Accounting
2021-02-10,GB,53.94,total postings,Accounting
2021-02-11,GB,53.92,total postings,Accounting
2021-02-12,GB,54.02,total postings,Accounting
2021-02-13,GB,54.18,total postings,Accounting
2021-02-14,GB,54.26,total postings,Accounting
2021-02-15,GB,54.23,total postings,Accounting
2021-02-16,GB,54.2,total postings,Accounting
2021-02-17,GB,54.28,total postings,Accounting
2021-02-18,GB,54.69,total postings,Accounting
2021-02-19,GB,54.91,total postings,Accounting
2021-02-20,GB,54.96,total postings,Accounting
2021-02-21,GB,55.21,total postings,Accounting
2021-02-22,GB,55.54,total postings,Accounting
2021-02-23,GB,55.71,total postings,Accounting
2021-02-24,GB,56.06,total postings,Accounting
2021-02-25,GB,56.15,total postings,Accounting
2021-02-26,GB,56.09,total postings,Accounting
2021-02-27,GB,56.07,total postings,Accounting
2021-02-28,GB,56.27,total postings,Accounting
2021-03-01,GB,56.58,total postings,Accounting
2021-03-02,GB,56.97,total postings,Accounting
2021-03-03,GB,57.37,total postings,Accounting
2021-03-04,GB,57.49,total postings,Accounting
2021-03-05,GB,58,total postings,Accounting
2021-03-06,GB,58.33,total postings,Accounting
2021-03-07,GB,58.45,total postings,Accounting
2021-03-08,GB,58.47,total postings,Accounting
2021-03-09,GB,58.57,total postings,Accounting
2021-03-10,GB,58.7,total postings,Accounting
2021-03-11,GB,59.04,total postings,Accounting
2021-03-12,GB,59.32,total postings,Accounting
2021-03-13,GB,60.26,total postings,Accounting
2021-03-14,GB,61.33,total postings,Accounting
2021-03-15,GB,61.44,total postings,Accounting
2021-03-16,GB,61.29,total postings,Accounting
2021-03-17,GB,60.98,total postings,Accounting
2021-03-18,GB,60.79,total postings,Accounting
2021-03-19,GB,60.74,total postings,Accounting
2021-03-20,GB,60.17,total postings,Accounting
2021-03-21,GB,58.6,total postings,Accounting
2021-03-22,GB,58,total postings,Accounting
2021-03-23,GB,58.47,total postings,Accounting
2021-03-24,GB,58.73,total postings,Accounting
2021-03-25,GB,59.05,total postings,Accounting
2021-03-26,GB,59.86,total postings,Accounting
2021-03-27,GB,60.83,total postings,Accounting
2021-03-28,GB,62.52,total postings,Accounting
2021-03-29,GB,64.17,total postings,Accounting
2021-03-30,GB,64.82,total postings,Accounting
2021-03-31,GB,65.77,total postings,Accounting
2021-04-01,GB,66.2,total postings,Accounting
2021-04-02,GB,66.32,total postings,Accounting
2021-04-03,GB,66.15,total postings,Accounting
2021-04-04,GB,66.22,total postings,Accounting
2021-04-05,GB,66.42,total postings,Accounting
2021-04-06,GB,66.48,total postings,Accounting
2021-04-07,GB,66.3,total postings,Accounting
2021-04-08,GB,66.66,total postings,Accounting
2021-04-09,GB,66.76,total postings,Accounting
2021-04-10,GB,66.86,total postings,Accounting
2021-04-11,GB,67.01,total postings,Accounting
2021-04-12,GB,67.05,total postings,Accounting
