date,CBSA Title,cbsa_code,pct_chng_feb_1
2020-02-01,"Baton Rouge, LA",12940,0
2020-02-01,"Albuquerque, NM",10740,0
2020-02-01,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,0
2020-02-01,"Ogden-Clearfield, UT",36260,0
2020-02-01,"Sacramento-Roseville-Folsom, CA",40900,0
2020-02-01,"Madison, WI",31540,0
2020-02-01,"Austin-Round Rock-Georgetown, TX",12420,0
2020-02-01,"San Antonio-New Braunfels, TX",41700,0
2020-02-01,"Allentown-Bethlehem-Easton, PA-NJ",10900,0
2020-02-01,"Poughkeepsie-Newburgh-Middletown, NY",39100,0
2020-02-01,"Chicago-Naperville-Elgin, IL-IN-WI",16980,0
2020-02-01,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,0
2020-02-01,"Akron, OH",10420,0
2020-02-01,"Columbia, SC",17900,0
2020-02-02,"Chattanooga, TN-GA",16860,0.329680098261775
2020-02-02,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,-0.0628650697545252
2020-02-02,"Houston-The Woodlands-Sugar Land, TX",26420,-0.339665983726267
2020-02-02,"Lansing-East Lansing, MI",29620,0.233646615132632
2020-02-02,"Jacksonville, FL",27260,-0.101267873680155
2020-02-02,"Scranton--Wilkes-Barre, PA",42540,0.034755128036501
2020-02-02,"Youngstown-Warren-Boardman, OH-PA",49660,0.322727440788029
2020-02-02,"Fayetteville-Springdale-Rogers, AR",22220,0.136654806682213
2020-02-02,"Lakeland-Winter Haven, FL",29460,-0.18515653182084
2020-02-02,"Cape Coral-Fort Myers, FL",15980,-0.0759815542972886
2020-02-02,"Phoenix-Mesa-Chandler, AZ",38060,-0.0252498862377992
2020-02-02,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,-0.00455642376057108
2020-02-02,"Charleston-North Charleston, SC",16700,-0.312291570042877
2020-02-02,"San Antonio-New Braunfels, TX",41700,-0.0928011622524316
2020-02-02,"Albany-Schenectady-Troy, NY",10580,-0.322489150824778
2020-02-02,"Louisville/Jefferson County, KY-IN",31140,0.180904338993049
2020-02-02,"Cincinnati, OH-KY-IN",17140,-0.0091526992450075
2020-02-02,"Portland-Vancouver-Hillsboro, OR-WA",38900,0.118324032028805
2020-02-02,"San Francisco-Oakland-Berkeley, CA",41860,-0.115649386878747
2020-02-02,"Tulsa, OK",46140,0.0424113098347334
2020-02-02,"Greensboro-High Point, NC",24660,-0.0957806592360666
2020-02-02,"Salt Lake City, UT",41620,-0.316531059868119
2020-02-02,"Modesto, CA",33700,0.0846180344222569
2020-02-02,"Omaha-Council Bluffs, NE-IA",36540,-0.061583412472177
2020-02-02,"Dayton-Kettering, OH",19430,-0.281068130092876
