date,jobcountry,indeed_job_postings_index,variable,display_name
2020-06-24,US,61.56,total postings,Accounting
2020-06-25,US,61.75,total postings,Accounting
2020-06-26,US,61.97,total postings,Accounting
2020-06-27,US,62.21,total postings,Accounting
2020-06-28,US,62.42,total postings,Accounting
2020-06-29,US,62.62,total postings,Accounting
2020-06-30,US,62.87,total postings,Accounting
2020-07-01,US,63.03,total postings,Accounting
2020-07-02,US,63.18,total postings,Accounting
2020-07-03,US,63.35,total postings,Accounting
2020-07-04,US,63.48,total postings,Accounting
2020-07-05,US,63.58,total postings,Accounting
2020-07-06,US,63.7,total postings,Accounting
2020-07-07,US,63.83,total postings,Accounting
2020-07-08,US,64.19,total postings,Accounting
2020-07-09,US,64.58,total postings,Accounting
2020-07-10,US,64.98,total postings,Accounting
2020-07-11,US,65.41,total postings,Accounting
2020-07-12,US,65.83,total postings,Accounting
2020-07-13,US,66.22,total postings,Accounting
2020-07-14,US,66.61,total postings,Accounting
2020-07-15,US,66.75,total postings,Accounting
2020-07-16,US,66.74,total postings,Accounting
2020-07-17,US,66.56,total postings,Accounting
2020-07-18,US,66.02,total postings,Accounting
2020-07-19,US,65.63,total postings,Accounting
2020-07-20,US,65.16,total postings,Accounting
2020-07-21,US,64.71,total postings,Accounting
2020-07-22,US,64.33,total postings,Accounting
2020-07-23,US,64.08,total postings,Accounting
2020-07-24,US,63.93,total postings,Accounting
2020-07-25,US,64.16,total postings,Accounting
2020-07-26,US,64.22,total postings,Accounting
2020-07-27,US,64.35,total postings,Accounting
2020-07-28,US,64.43,total postings,Accounting
2020-07-29,US,64.57,total postings,Accounting
2020-07-30,US,64.68,total postings,Accounting
2020-07-31,US,64.87,total postings,Accounting
2020-08-01,US,65.14,total postings,Accounting
2020-08-02,US,65.37,total postings,Accounting
2020-08-03,US,65.67,total postings,Accounting
2020-08-04,US,66.27,total postings,Accounting
2020-08-05,US,66.71,total postings,Accounting
2020-08-06,US,67.17,total postings,Accounting
2020-08-07,US,67.49,total postings,Accounting
2020-08-08,US,67.84,total postings,Accounting
2020-08-09,US,68.23,total postings,Accounting
2020-08-10,US,68.6,total postings,Accounting
2020-08-11,US,68.51,total postings,Accounting
2020-08-12,US,68.39,total postings,Accounting
2020-08-13,US,68.18,total postings,Accounting
2020-08-14,US,68.33,total postings,Accounting
2020-08-15,US,68.09,total postings,Accounting
2020-08-16,US,68.14,total postings,Accounting
2020-08-17,US,68.19,total postings,Accounting
2020-08-18,US,68.4,total postings,Accounting
2020-08-19,US,68.76,total postings,Accounting
2020-08-20,US,69.21,total postings,Accounting
2020-08-21,US,69.41,total postings,Accounting
2020-08-22,US,69.88,total postings,Accounting
2020-08-23,US,70.06,total postings,Accounting
2020-08-24,US,70.19,total postings,Accounting
2020-08-25,US,70.42,total postings,Accounting
2020-08-26,US,70.66,total postings,Accounting
2020-08-27,US,70.84,total postings,Accounting
2020-08-28,US,71.02,total postings,Accounting
2020-08-29,US,71.21,total postings,Accounting
2020-08-30,US,71.36,total postings,Accounting
2020-08-31,US,71.55,total postings,Accounting
2020-09-01,US,71.55,total postings,Accounting
2020-09-02,US,71.6,total postings,Accounting
2020-09-03,US,71.7,total postings,Accounting
2020-09-04,US,71.78,total postings,Accounting
2020-09-05,US,71.85,total postings,Accounting
2020-09-06,US,72.02,total postings,Accounting
2020-09-07,US,72.18,total postings,Accounting
2020-09-08,US,72.3,total postings,Accounting
2020-09-09,US,73.14,total postings,Accounting
2020-09-10,US,74.06,total postings,Accounting
2020-09-11,US,75.27,total postings,Accounting
2020-09-12,US,76.41,total postings,Accounting
2020-09-13,US,77.49,total postings,Accounting
2020-09-14,US,78.54,total postings,Accounting
2020-09-15,US,79.69,total postings,Accounting
2020-09-16,US,80.09,total postings,Accounting
2020-09-17,US,80.38,total postings,Accounting
2020-09-18,US,80.32,total postings,Accounting
2020-09-19,US,80.15,total postings,Accounting
2020-09-20,US,80.09,total postings,Accounting
2020-09-21,US,80.03,total postings,Accounting
2020-09-22,US,80.1,total postings,Accounting
2020-09-23,US,80.14,total postings,Accounting
2020-09-24,US,80.26,total postings,Accounting
2020-09-25,US,80.48,total postings,Accounting
2020-09-26,US,80.81,total postings,Accounting
2020-09-27,US,81.16,total postings,Accounting
2020-09-28,US,81.62,total postings,Accounting
2020-09-29,US,82.11,total postings,Accounting
2020-09-30,US,82.61,total postings,Accounting
2020-10-01,US,82.93,total postings,Accounting
2020-10-02,US,83.22,total postings,Accounting
2020-10-03,US,83.58,total postings,Accounting
2020-10-04,US,83.79,total postings,Accounting
2020-10-05,US,83.86,total postings,Accounting
2020-10-06,US,83.77,total postings,Accounting
2020-10-07,US,83.72,total postings,Accounting
2020-10-08,US,83.82,total postings,Accounting
