date,country,category,YoY_pct_change_in_postings_trend_from_feb1
2020-02-03,AU,Physicians & Surgeons,-0.326364099948995
2020-02-03,AU,Media & Communications,-0.343260979303384
2020-02-03,AU,Sales,-1.14564654313607
2020-02-03,AU,Driving,0.318059835006479
2020-02-03,AU,Mining,0.680602819640264
2020-02-03,AU,Retail,0.0300360432519131
2020-02-03,AU,Sports,-0.955476753349094
2020-02-03,AU,Chemical Engineering,-8.8302752293578
2020-02-03,AU,Mechanical Engineering,1.85
2020-02-03,AU,Banking & Finance,-0.0505765729314156
2020-02-03,AU,Installation & Maintenance,0.297766749379647
2020-02-03,AU,Medical Information,0.191957971307333
2020-02-03,AU,Medical Technician,0.979785478547868
2020-02-03,AU,Project Management,-0.131565631009001
2020-02-03,AU,Scientific Research & Development,-0.302693976389867
2020-02-03,AU,Community & Social Service,0.730371272063302
2020-02-03,AU,Therapy,-0.110820068506956
2020-02-03,AU,Aviation,-3.08361527307878
2020-02-03,AU,Customer Service,1.17778454665449
2020-02-03,AU,Civil Engineering,-1.92804611409262
2020-02-03,AU,Nursing,0.440393281442031
2020-02-03,AU,Military,-3.08849732726192
2020-02-03,AU,Beauty & Wellness,0.593530517360752
2020-02-03,AU,Pharmacy,-0.292663235442536
2020-02-03,AU,IT Operations & Helpdesk,-0.298359025360517
2020-02-03,AU,Information Design & Documentation,0.493951612903221
2020-02-03,AU,Childcare,-1.51544971462311
2020-02-03,AU,Education & Instruction,0.59066745422327
2020-02-03,AU,Insurance,2.23123732251522
2020-02-03,AU,Marketing,0.0499800079968082
2020-02-03,AU,Dental,1.8922418085848
2020-02-03,AU,Logistic Support,-0.217198143943143
2020-02-03,AU,Loading & Stocking,-0.834560628375058
2020-02-03,AU,Accounting,-0.970969979193503
2020-02-03,AU,Management,-0.651629072681714
2020-02-03,AU,Security & Public Safety,1.21181772658989
2020-02-03,AU,Real Estate,-0.462279925248354
2020-02-03,AU,Cleaning & Sanitation,-1.92154520111508
