date,jobcountry,indeed_job_postings_index,variable,display_name
2020-06-18,AU,48.86,total postings,Accounting
2020-06-19,AU,49.25,total postings,Accounting
2020-06-20,AU,49.79,total postings,Accounting
2020-06-21,AU,50.32,total postings,Accounting
2020-06-22,AU,50.82,total postings,Accounting
2020-06-23,AU,51.48,total postings,Accounting
2020-06-24,AU,52.01,total postings,Accounting
2020-06-25,AU,52.62,total postings,Accounting
2020-06-26,AU,53.15,total postings,Accounting
2020-06-27,AU,53.72,total postings,Accounting
2020-06-28,AU,54.26,total postings,Accounting
2020-06-29,AU,55.09,total postings,Accounting
2020-06-30,AU,55.64,total postings,Accounting
2020-07-01,AU,56.33,total postings,Accounting
2020-07-02,AU,56.99,total postings,Accounting
2020-07-03,AU,57.62,total postings,Accounting
2020-07-04,AU,58.06,total postings,Accounting
2020-07-05,AU,58.45,total postings,Accounting
2020-07-06,AU,58.61,total postings,Accounting
2020-07-07,AU,58.96,total postings,Accounting
2020-07-08,AU,58.94,total postings,Accounting
2020-07-09,AU,58.79,total postings,Accounting
2020-07-10,AU,58.64,total postings,Accounting
2020-07-11,AU,58.52,total postings,Accounting
2020-07-12,AU,58.44,total postings,Accounting
2020-07-13,AU,58.19,total postings,Accounting
2020-07-14,AU,57.59,total postings,Accounting
2020-07-15,AU,57.35,total postings,Accounting
2020-07-16,AU,57.18,total postings,Accounting
2020-07-17,AU,57.16,total postings,Accounting
2020-07-18,AU,57.03,total postings,Accounting
2020-07-19,AU,57,total postings,Accounting
2020-07-20,AU,57.14,total postings,Accounting
2020-07-21,AU,57.5,total postings,Accounting
2020-07-22,AU,57.62,total postings,Accounting
2020-07-23,AU,57.46,total postings,Accounting
2020-07-24,AU,57.39,total postings,Accounting
2020-07-25,AU,57.38,total postings,Accounting
2020-07-26,AU,57.27,total postings,Accounting
2020-07-27,AU,57.11,total postings,Accounting
2020-07-28,AU,56.79,total postings,Accounting
2020-07-29,AU,56.53,total postings,Accounting
2020-07-30,AU,56.58,total postings,Accounting
2020-07-31,AU,56.52,total postings,Accounting
2020-08-01,AU,56.44,total postings,Accounting
2020-08-02,AU,56.22,total postings,Accounting
2020-08-03,AU,56.21,total postings,Accounting
2020-08-04,AU,56.46,total postings,Accounting
2020-08-05,AU,56.67,total postings,Accounting
2020-08-06,AU,56.67,total postings,Accounting
2020-08-07,AU,56.66,total postings,Accounting
2020-08-08,AU,56.71,total postings,Accounting
2020-08-09,AU,56.99,total postings,Accounting
2020-08-10,AU,57,total postings,Accounting
2020-08-11,AU,57.14,total postings,Accounting
2020-08-12,AU,57.38,total postings,Accounting
2020-08-13,AU,57.65,total postings,Accounting
2020-08-14,AU,57.94,total postings,Accounting
2020-08-15,AU,57.98,total postings,Accounting
2020-08-16,AU,58.13,total postings,Accounting
2020-08-17,AU,58.39,total postings,Accounting
2020-08-18,AU,58.39,total postings,Accounting
2020-08-19,AU,58.35,total postings,Accounting
2020-08-20,AU,58.38,total postings,Accounting
2020-08-21,AU,58.46,total postings,Accounting
2020-08-22,AU,58.88,total postings,Accounting
2020-08-23,AU,59.14,total postings,Accounting
2020-08-24,AU,59.13,total postings,Accounting
2020-08-25,AU,59.35,total postings,Accounting
2020-08-26,AU,59.94,total postings,Accounting
2020-08-27,AU,60.63,total postings,Accounting
2020-08-28,AU,61.26,total postings,Accounting
2020-08-29,AU,61.75,total postings,Accounting
2020-08-30,AU,62.16,total postings,Accounting
2020-08-31,AU,62.74,total postings,Accounting
2020-09-01,AU,63.06,total postings,Accounting
2020-09-02,AU,63.12,total postings,Accounting
2020-09-03,AU,63.37,total postings,Accounting
2020-09-04,AU,63.76,total postings,Accounting
2020-09-05,AU,64.01,total postings,Accounting
2020-09-06,AU,64.55,total postings,Accounting
2020-09-07,AU,65.11,total postings,Accounting
2020-09-08,AU,65.7,total postings,Accounting
2020-09-09,AU,66.17,total postings,Accounting
2020-09-10,AU,66.1,total postings,Accounting
2020-09-11,AU,65.84,total postings,Accounting
2020-09-12,AU,65.53,total postings,Accounting
2020-09-13,AU,64.99,total postings,Accounting
2020-09-14,AU,64.55,total postings,Accounting
2020-09-15,AU,64.09,total postings,Accounting
2020-09-16,AU,63.64,total postings,Accounting
2020-09-17,AU,63.42,total postings,Accounting
2020-09-18,AU,63.22,total postings,Accounting
2020-09-19,AU,63.22,total postings,Accounting
2020-09-20,AU,63.21,total postings,Accounting
2020-09-21,AU,63.29,total postings,Accounting
2020-09-22,AU,63.61,total postings,Accounting
2020-09-23,AU,64.17,total postings,Accounting
2020-09-24,AU,64.72,total postings,Accounting
2020-09-25,AU,65.23,total postings,Accounting
2020-09-26,AU,65.68,total postings,Accounting
2020-09-27,AU,66.17,total postings,Accounting
2020-09-28,AU,66.82,total postings,Accounting
2020-09-29,AU,67.26,total postings,Accounting
2020-09-30,AU,67.48,total postings,Accounting
2020-10-01,AU,67.63,total postings,Accounting
2020-10-02,AU,67.46,total postings,Accounting
2020-10-03,AU,67.37,total postings,Accounting
2020-10-04,AU,67.14,total postings,Accounting
2020-10-05,AU,66.51,total postings,Accounting
