date,country,index_to_feb01
2018-09-17,IE,100.87
2018-09-18,IE,100.94
2018-09-19,IE,101.28
2018-09-20,IE,101.42
2018-09-21,IE,101.74
2018-09-22,IE,101.78
2018-09-23,IE,101.84
2018-09-24,IE,101.61
2018-09-25,IE,101.53
2018-09-26,IE,101.43
2018-09-27,IE,101.49
2018-09-28,IE,101.39
2018-09-29,IE,101.43
2018-09-30,IE,101.35
2018-10-01,IE,101.43
2018-10-02,IE,101.48
2018-10-03,IE,101.51
2018-10-04,IE,101.51
2018-10-05,IE,101.63
2018-10-06,IE,101.66
2018-10-07,IE,101.73
2018-10-08,IE,101.95
2018-10-09,IE,101.84
2018-10-10,IE,101.95
2018-10-11,IE,102.01
2018-10-12,IE,102.12
2018-10-13,IE,101.96
2018-10-14,IE,101.97
2018-10-15,IE,101.77
2018-10-16,IE,101.76
2018-10-17,IE,101.54
2018-10-18,IE,101.35
2018-10-19,IE,100.89
2018-10-20,IE,100.95
2018-10-21,IE,100.97
2018-10-22,IE,100.96
2018-10-23,IE,101.07
2018-10-24,IE,100.92
2018-10-25,IE,100.71
2018-10-26,IE,100.77
2018-10-27,IE,100.6
2018-10-28,IE,100.37
2018-10-29,IE,100.37
2018-10-30,IE,99.65
2018-10-31,IE,99.4
2018-11-01,IE,98.96
2018-11-02,IE,98.66
2018-11-03,IE,98.28
2018-11-04,IE,97.89
2018-11-05,IE,97.4
2018-11-06,IE,97.63
2018-11-07,IE,97.46
2018-11-08,IE,97.44
2018-11-09,IE,97.42
2018-11-10,IE,97.29
2018-11-11,IE,97.18
2018-11-12,IE,97.11
2018-11-13,IE,97.01
2018-11-14,IE,97.28
2018-11-15,IE,97.43
2018-11-16,IE,97.6
2018-11-17,IE,97.88
2018-11-18,IE,98.18
2018-11-19,IE,98.44
2018-11-20,IE,98.64
2018-11-21,IE,98.75
2018-11-22,IE,98.8
2018-11-23,IE,98.93
2018-11-24,IE,98.96
2018-11-25,IE,98.93
2018-11-26,IE,98.61
2018-11-27,IE,98.59
2018-11-28,IE,98.76
2018-11-29,IE,98.88
2018-11-30,IE,98.61
2018-12-01,IE,98.28
2018-12-02,IE,97.99
2018-12-03,IE,98.11
2018-12-04,IE,97.81
2018-12-05,IE,97.23
2018-12-06,IE,97.16
2018-12-07,IE,97.27
2018-12-08,IE,97.41
2018-12-09,IE,97.52
2018-12-10,IE,97.66
2018-12-11,IE,97.52
2018-12-12,IE,97.65
2018-12-13,IE,97.45
2018-12-14,IE,97.24
2018-12-15,IE,96.87
2018-12-16,IE,96.59
2018-12-17,IE,96.02
2018-12-18,IE,95.91
2018-12-19,IE,95.34
2018-12-20,IE,94.85
2018-12-21,IE,94.37
2018-12-22,IE,94.33
2018-12-23,IE,94.14
2018-12-24,IE,94.19
2018-12-25,IE,94.01
2018-12-26,IE,93.85
2018-12-27,IE,93.47
2018-12-28,IE,93.09
2018-12-29,IE,92.55
2018-12-30,IE,92.02
2018-12-31,IE,91.55
2019-02-01,IE,100
2019-02-02,IE,100.27
2019-02-03,IE,100.37
2019-02-04,IE,100.29
2019-02-05,IE,100.05
2019-02-06,IE,99.89
2019-02-07,IE,99.59
2019-02-08,IE,99.86
2019-02-09,IE,99.92
2019-02-10,IE,100
2019-02-11,IE,100.19
2019-02-12,IE,100.31
2019-02-13,IE,100.56
2019-02-14,IE,100.82
2019-02-15,IE,100.86
2019-02-16,IE,100.73
2019-02-17,IE,100.67
