date,country,index_to_feb01
2018-09-17,FR,103.86
2018-09-18,FR,104.29
2018-09-19,FR,104.91
2018-09-20,FR,105.47
2018-09-21,FR,106.09
2018-09-22,FR,106.64
2018-09-23,FR,107.16
2018-09-24,FR,107.72
2018-09-25,FR,108.03
2018-09-26,FR,108.05
2018-09-27,FR,108.05
2018-09-28,FR,107.94
2018-09-29,FR,107.76
2018-09-30,FR,107.52
2018-10-01,FR,107.11
2018-10-02,FR,106.72
2018-10-03,FR,106.41
2018-10-04,FR,106.01
2018-10-05,FR,105.68
2018-10-06,FR,105.37
2018-10-07,FR,105.13
2018-10-08,FR,104.27
2018-10-09,FR,103.71
2018-10-10,FR,103.14
2018-10-11,FR,102.53
2018-10-12,FR,101.92
2018-10-13,FR,101.14
2018-10-14,FR,100.38
2018-10-15,FR,100.41
2018-10-16,FR,100.18
2018-10-17,FR,100
2018-10-18,FR,99.79
2018-10-19,FR,99.54
2018-10-20,FR,99.44
2018-10-21,FR,99.34
2018-10-22,FR,99.21
2018-10-23,FR,99.24
2018-10-24,FR,99.24
2018-10-25,FR,99.38
2018-10-26,FR,99.55
2018-10-27,FR,99.65
2018-10-28,FR,99.76
2018-10-29,FR,99.82
2018-10-30,FR,99.8
2018-10-31,FR,99.74
2018-11-01,FR,99.65
2018-11-02,FR,99.28
2018-11-03,FR,98.78
2018-11-04,FR,98.29
2018-11-05,FR,97.77
2018-11-06,FR,97.3
2018-11-07,FR,96.87
2018-11-08,FR,96.5
2018-11-09,FR,96.25
2018-11-10,FR,96.21
2018-11-11,FR,96.16
2018-11-12,FR,96.18
2018-11-13,FR,96.26
2018-11-14,FR,96.37
2018-11-15,FR,96.48
2018-11-16,FR,96.73
2018-11-17,FR,96.94
2018-11-18,FR,97.17
2018-11-19,FR,97.45
2018-11-20,FR,97.74
2018-11-21,FR,98.06
2018-11-22,FR,98.34
2018-11-23,FR,98.67
2018-11-24,FR,99.02
2018-11-25,FR,99.37
2018-11-26,FR,99.6
2018-11-27,FR,99.83
2018-11-28,FR,99.97
2018-11-29,FR,100.12
2018-11-30,FR,100.26
2018-12-01,FR,100.2
2018-12-02,FR,100.13
2018-12-03,FR,100.17
2018-12-04,FR,100.11
2018-12-05,FR,99.94
2018-12-06,FR,99.9
2018-12-07,FR,99.82
