date,country,category,YoY_pct_change_in_postings_trend_from_feb1
2020-02-03,FR,Administration,-0.38632986627043
2020-02-03,FR,Génie industriel,-0.258654994031027
2020-02-03,FR,Juridique,-1.33015683938852
2020-02-03,FR,Médecine,1.76839126919968
2020-02-03,FR,Médias et communication,1.03455202892728
2020-02-03,FR,Vente et prospection commerciale,-0.35767511177347
2020-02-03,FR,Conduite routière,1.2014417300761
2020-02-03,FR,Extraction minière,5.66232305240459
2020-02-03,FR,Vente au détail,-0.418910831837227
2020-02-03,FR,Sport,1.01970101970101
2020-02-03,FR,Génie chimique,-1.70253467240555
2020-02-03,FR,Génie mécanique,-0.299162345432791
2020-02-03,FR,Banque et finance,-0.369667299430521
2020-02-03,FR,Maintenance et réparation,-0.148824288123828
2020-02-03,FR,Information médicale,-2.27544910179641
2020-02-03,FR,Assistance médico-technique,1.32417363600159
2020-02-03,FR,Gestion de projet,-0.457211012821779
2020-02-03,FR,Recherche et développement,0.399400898652003
2020-02-03,FR,Services communautaires et sociaux,0.658222798444208
2020-02-03,FR,Thérapie et accompagnement,-1.38113429327064
2020-02-03,FR,Aviation,-1.56606204777481
2020-02-03,FR,Service clients,-0.593941793704211
2020-02-03,FR,Génie civil,-0.163968026234884
2020-02-03,FR,Soins infirmiers,0.437636761487958
2020-02-03,FR,Militaire,-3.82841328413285
2020-02-03,FR,Beauté et bien-être,2.17152006404482
2020-02-03,FR,Pharmacie,0.0491207387758985
2020-02-03,FR,Support informatique,0.809433396622361
2020-02-03,FR,Design de l'information,0.219210840972495
2020-02-03,FR,Garde d'enfants,1.86688311688312
2020-02-03,FR,Enseignement et formation,0.0297147385103003
2020-02-03,FR,Assurance,-1.0257421836473
2020-02-03,FR,Marketing,-0.7436787307883
2020-02-03,FR,Médecine dentaire,2.71479410269446
2020-02-03,FR,Transport et logistique,0.617837568510216
2020-02-03,FR,Magasinage et entreposage,0.368893320039887
2020-02-03,FR,Comptabilité,-1.35804916732751
2020-02-03,FR,Management,-0.29818109531855
2020-02-03,FR,Sécurité et défense publique,-0.0996115150911359
2020-02-03,FR,Immobilier,1.35630135630134
2020-02-03,FR,Propreté et hygiène,-0.434868551097067
2020-02-03,FR,Médecine vétérinaire,-32.3066508715519
2020-02-03,FR,Agriculture et foresterie,0.148470751262009
2020-02-03,FR,Génie électrique,-2.50464729478523
2020-02-03,FR,Hôtellerie et tourisme,-1.62786108918707
2020-02-03,FR,Construction,-0.783963481194794
2020-02-03,FR,Développement de logiciels,-0.0199541055572294
2020-02-03,FR,Production et fabrication,-0.26871019108281
2020-02-03,FR,Sciences humaines et sociales,-2.22312455588266
2020-02-03,FR,Non classifié,0.0300270243218881
2020-02-04,FR,Ressources humaines,-0.683642128207684
2020-02-04,FR,Architecture,-0.665342601787489
2020-02-04,FR,Art et divertissement,-0.128243069941802
2020-02-04,FR,Soins personnels et à domicile,0.197687061381835
2020-02-04,FR,Restauration,0.237835695173927
2020-02-04,FR,Mathématiques et statistiques,-3.03597831444061
2020-02-04,FR,Administration,-0.395647873392668
2020-02-04,FR,Génie industriel,-0.516436587545932
2020-02-04,FR,Juridique,-2.09755614920352
2020-02-04,FR,Médecine,2.2540359427353
2020-02-04,FR,Médias et communication,1.45058930190389
2020-02-04,FR,Vente et prospection commerciale,-0.476190476190486
2020-02-04,FR,Conduite routière,1.03979204159168
2020-02-04,FR,Extraction minière,7.09090909090908
2020-02-04,FR,Vente au détail,-0.628993610223638
2020-02-04,FR,Sport,1.58277624852536
2020-02-04,FR,Génie chimique,-3.94084058784985
2020-02-04,FR,Génie mécanique,-0.925281066560546
2020-02-04,FR,Banque et finance,-0.848218740644635
2020-02-04,FR,Maintenance et réparation,-0.168634064080941
2020-02-04,FR,Information médicale,-2.57515030060119
2020-02-04,FR,Assistance médico-technique,2.14207432499751
2020-02-04,FR,Gestion de projet,-0.783108643933383
2020-02-04,FR,Recherche et développement,0.399281293671372
2020-02-04,FR,Services communautaires et sociaux,0.977263661747108
2020-02-04,FR,Thérapie et accompagnement,-2.06735902164418
2020-02-04,FR,Aviation,-1.66036985484191
2020-02-04,FR,Service clients,-0.770522572359977
2020-02-04,FR,Génie civil,-2.11580142429559
2020-02-04,FR,Soins infirmiers,1.16499054067509
2020-02-04,FR,Militaire,-4.6170365068003
2020-02-04,FR,Beauté et bien-être,3.94644115574347
2020-02-04,FR,Pharmacie,-0.0681663258350285
2020-02-04,FR,Support informatique,1.02938237057766
2020-02-04,FR,Design de l'information,0.0198925800676264
2020-02-04,FR,Garde d'enfants,4.26879933527213
2020-02-04,FR,Enseignement et formation,-0.00986485153399164
2020-02-04,FR,Assurance,-1.66044409510709
2020-02-04,FR,Marketing,-1.11715274345033
2020-02-04,FR,Médecine dentaire,3.53855594191042
2020-02-04,FR,Transport et logistique,0.858797683243462
2020-02-04,FR,Magasinage et entreposage,0.499750124937526
2020-02-04,FR,Comptabilité,-2.0654214843364
2020-02-04,FR,Management,-0.633977216443782
2020-02-04,FR,Sécurité et défense publique,-0.47666335650447
2020-02-04,FR,Immobilier,1.26893566791266
2020-02-04,FR,Propreté et hygiène,-0.394321766561501
2020-02-04,FR,Médecine vétérinaire,-48.6652977412731
2020-02-04,FR,Agriculture et foresterie,0.325540100621491
2020-02-04,FR,Génie électrique,-3.601592078439
2020-02-04,FR,Hôtellerie et tourisme,-1.79275019700551
2020-02-04,FR,Construction,-1.28052412150088
2020-02-04,FR,Développement de logiciels,-0.109681922424965
2020-02-04,FR,Production et fabrication,-0.687045703475064
2020-02-04,FR,Sciences humaines et sociales,-3.45254045140677
2020-02-04,FR,Non classifié,-0.0801924619085792
2020-02-05,FR,Ressources humaines,-0.762678288431062
2020-02-05,FR,Architecture,-0.735148023047882
2020-02-05,FR,Art et divertissement,-0.394127500246322
2020-02-05,FR,Soins personnels et à domicile,0.256562068284971
2020-02-05,FR,Restauration,0.564133016627077
2020-02-05,FR,Mathématiques et statistiques,-4.15027537372149
2020-02-05,FR,Administration,-0.0989707046714305
2020-02-05,FR,Génie industriel,-0.546502384737679
2020-02-05,FR,Juridique,-2.00831024930748
2020-02-05,FR,Médecine,2.56983240223463
2020-02-05,FR,Médias et communication,2.01152329930254
2020-02-05,FR,Vente et prospection commerciale,-0.228423875260708
2020-02-05,FR,Conduite routière,1.24111700530478
2020-02-05,FR,Extraction minière,4.59415445272993
2020-02-05,FR,Vente au détail,-0.490637829177942
2020-02-05,FR,Sport,1.89972581276929
2020-02-05,FR,Génie chimique,-4.96035404757514
2020-02-05,FR,Génie mécanique,-0.987137301824714
2020-02-05,FR,Banque et finance,-0.928329007785988
2020-02-05,FR,Maintenance et réparation,0.0595829195630504
2020-02-05,FR,Information médicale,-1.99576655579073
2020-02-05,FR,Assistance médico-technique,3.10906727981606
2020-02-05,FR,Gestion de projet,-0.900900900900914
2020-02-05,FR,Recherche et développement,0.519117500249577
2020-02-05,FR,Services communautaires et sociaux,1.38902768062357
2020-02-05,FR,Thérapie et accompagnement,-2.30940187457725
2020-02-05,FR,Aviation,-1.63738019169329
2020-02-05,FR,Service clients,-0.0397101161520919
2020-02-05,FR,Génie civil,-2.37494745691466
2020-02-05,FR,Soins infirmiers,2.21022102210222
2020-02-05,FR,Militaire,-2.34451030699815
2020-02-05,FR,Beauté et bien-être,5.31249999999999
2020-02-05,FR,Pharmacie,1.35398402493669
2020-02-05,FR,Support informatique,1.22913960227842
2020-02-05,FR,Design de l'information,-0.00994431185362687
2020-02-05,FR,Garde d'enfants,7.13905167820992
2020-02-05,FR,Enseignement et formation,0.118249901458412
