date,jobcountry,pct_chng_feb_1,variable,display_name
2020-06-12,CA,-47.12,total postings,Accounting
2020-06-13,CA,-47.08,total postings,Accounting
2020-06-14,CA,-46.88,total postings,Accounting
2020-06-15,CA,-46.69,total postings,Accounting
2020-06-16,CA,-46.51,total postings,Accounting
2020-06-17,CA,-46.26,total postings,Accounting
2020-06-18,CA,-46.13,total postings,Accounting
2020-06-19,CA,-45.95,total postings,Accounting
2020-06-20,CA,-45.68,total postings,Accounting
2020-06-21,CA,-45.54,total postings,Accounting
2020-06-22,CA,-45.35,total postings,Accounting
2020-06-23,CA,-45.15,total postings,Accounting
2020-06-24,CA,-44.97,total postings,Accounting
2020-06-25,CA,-44.84,total postings,Accounting
2020-06-26,CA,-44.75,total postings,Accounting
2020-06-27,CA,-44.68,total postings,Accounting
2020-06-28,CA,-44.65,total postings,Accounting
2020-06-29,CA,-44.59,total postings,Accounting
2020-06-30,CA,-44.59,total postings,Accounting
2020-07-01,CA,-44.72,total postings,Accounting
2020-07-02,CA,-44.84,total postings,Accounting
2020-07-03,CA,-44.92,total postings,Accounting
2020-07-04,CA,-44.94,total postings,Accounting
2020-07-05,CA,-44.95,total postings,Accounting
2020-07-06,CA,-44.97,total postings,Accounting
2020-07-07,CA,-44.9,total postings,Accounting
2020-07-08,CA,-44.7,total postings,Accounting
2020-07-09,CA,-44.36,total postings,Accounting
2020-07-10,CA,-43.99,total postings,Accounting
2020-07-11,CA,-43.74,total postings,Accounting
2020-07-12,CA,-43.49,total postings,Accounting
2020-07-13,CA,-43.27,total postings,Accounting
2020-07-14,CA,-43.02,total postings,Accounting
2020-07-15,CA,-42.81,total postings,Accounting
2020-07-16,CA,-42.59,total postings,Accounting
2020-07-17,CA,-42.38,total postings,Accounting
2020-07-18,CA,-42.24,total postings,Accounting
2020-07-19,CA,-41.94,total postings,Accounting
2020-07-20,CA,-41.68,total postings,Accounting
2020-07-21,CA,-41.39,total postings,Accounting
2020-07-22,CA,-41.1,total postings,Accounting
2020-07-23,CA,-40.67,total postings,Accounting
2020-07-24,CA,-40.24,total postings,Accounting
2020-07-25,CA,-39.74,total postings,Accounting
2020-07-26,CA,-39.41,total postings,Accounting
2020-07-27,CA,-39.16,total postings,Accounting
2020-07-28,CA,-38.97,total postings,Accounting
2020-07-29,CA,-38.66,total postings,Accounting
2020-07-30,CA,-38.52,total postings,Accounting
2020-07-31,CA,-38.52,total postings,Accounting
2020-08-01,CA,-38.57,total postings,Accounting
2020-08-02,CA,-38.61,total postings,Accounting
2020-08-03,CA,-38.52,total postings,Accounting
2020-08-04,CA,-38.52,total postings,Accounting
2020-08-05,CA,-38.67,total postings,Accounting
2020-08-06,CA,-38.82,total postings,Accounting
2020-08-07,CA,-38.81,total postings,Accounting
2020-08-08,CA,-38.6,total postings,Accounting
2020-08-09,CA,-38.38,total postings,Accounting
2020-08-10,CA,-38.16,total postings,Accounting
2020-08-11,CA,-37.87,total postings,Accounting
2020-08-12,CA,-37.75,total postings,Accounting
2020-08-13,CA,-37.7,total postings,Accounting
2020-08-14,CA,-37.46,total postings,Accounting
2020-08-15,CA,-37.52,total postings,Accounting
2020-08-16,CA,-37.39,total postings,Accounting
2020-08-17,CA,-37.23,total postings,Accounting
2020-08-18,CA,-36.89,total postings,Accounting
2020-08-19,CA,-36.3,total postings,Accounting
2020-08-20,CA,-35.74,total postings,Accounting
2020-08-21,CA,-35.56,total postings,Accounting
2020-08-22,CA,-35.16,total postings,Accounting
2020-08-23,CA,-35.03,total postings,Accounting
2020-08-24,CA,-34.9,total postings,Accounting
2020-08-25,CA,-34.94,total postings,Accounting
2020-08-26,CA,-35.02,total postings,Accounting
2020-08-27,CA,-35,total postings,Accounting
2020-08-28,CA,-34.83,total postings,Accounting
2020-08-29,CA,-34.73,total postings,Accounting
2020-08-30,CA,-34.58,total postings,Accounting
2020-08-31,CA,-34.49,total postings,Accounting
2020-09-01,CA,-34.51,total postings,Accounting
2020-09-02,CA,-34.42,total postings,Accounting
2020-09-03,CA,-34.32,total postings,Accounting
2020-09-04,CA,-34.08,total postings,Accounting
2020-09-05,CA,-33.81,total postings,Accounting
2020-09-06,CA,-33.55,total postings,Accounting
2020-09-07,CA,-33.27,total postings,Accounting
2020-09-08,CA,-32.99,total postings,Accounting
2020-09-09,CA,-32.87,total postings,Accounting
2020-09-10,CA,-32.76,total postings,Accounting
2020-09-11,CA,-32.83,total postings,Accounting
2020-09-12,CA,-32.92,total postings,Accounting
2020-09-13,CA,-32.95,total postings,Accounting
2020-09-14,CA,-33.08,total postings,Accounting
2020-09-15,CA,-33.02,total postings,Accounting
2020-09-16,CA,-32.86,total postings,Accounting
2020-09-17,CA,-32.73,total postings,Accounting
2020-09-18,CA,-32.57,total postings,Accounting
2020-09-19,CA,-32.33,total postings,Accounting
2020-09-20,CA,-32.1,total postings,Accounting
2020-09-21,CA,-31.81,total postings,Accounting
2020-09-22,CA,-31.57,total postings,Accounting
2020-09-23,CA,-31.44,total postings,Accounting
2020-09-24,CA,-31.26,total postings,Accounting
2020-09-25,CA,-31.01,total postings,Accounting
2020-09-26,CA,-30.81,total postings,Accounting
2020-09-27,CA,-30.59,total postings,Accounting
2020-09-28,CA,-30.26,total postings,Accounting
2020-09-29,CA,-29.95,total postings,Accounting
2020-09-30,CA,-29.44,total postings,Accounting
2020-10-01,CA,-29.21,total postings,Accounting
2020-10-02,CA,-28.89,total postings,Accounting
2020-10-03,CA,-28.53,total postings,Accounting
2020-10-04,CA,-28.19,total postings,Accounting
2020-10-05,CA,-27.99,total postings,Accounting
2020-10-06,CA,-27.88,total postings,Accounting
2020-10-07,CA,-27.83,total postings,Accounting
2020-10-08,CA,-27.45,total postings,Accounting
2020-10-09,CA,-26.99,total postings,Accounting
2020-10-10,CA,-26.56,total postings,Accounting
2020-10-11,CA,-26.19,total postings,Accounting
2020-10-12,CA,-25.8,total postings,Accounting
2020-10-13,CA,-25.59,total postings,Accounting
2020-10-14,CA,-25.5,total postings,Accounting
2020-10-15,CA,-25.6,total postings,Accounting
2020-10-16,CA,-25.75,total postings,Accounting
2020-10-17,CA,-25.77,total postings,Accounting
2020-10-18,CA,-25.72,total postings,Accounting
2020-10-19,CA,-25.68,total postings,Accounting
2020-10-20,CA,-25.14,total postings,Accounting
2020-10-21,CA,-24.78,total postings,Accounting
2020-10-22,CA,-24.37,total postings,Accounting
2020-10-23,CA,-24.37,total postings,Accounting
2020-10-24,CA,-24.48,total postings,Accounting
2020-10-25,CA,-24.62,total postings,Accounting
2020-10-26,CA,-24.7,total postings,Accounting
2020-10-27,CA,-25.04,total postings,Accounting
2020-10-28,CA,-25.19,total postings,Accounting
2020-10-29,CA,-25.25,total postings,Accounting
2020-10-30,CA,-25.05,total postings,Accounting
2020-10-31,CA,-24.79,total postings,Accounting
2020-11-01,CA,-24.66,total postings,Accounting
2020-11-02,CA,-24.65,total postings,Accounting
2020-11-03,CA,-24.54,total postings,Accounting
2020-11-04,CA,-24.36,total postings,Accounting
2020-11-05,CA,-24.11,total postings,Accounting
2020-11-06,CA,-23.9,total postings,Accounting
2020-11-07,CA,-23.8,total postings,Accounting
2020-11-08,CA,-23.58,total postings,Accounting
2020-11-09,CA,-23.32,total postings,Accounting
2020-11-10,CA,-23.13,total postings,Accounting
2020-11-11,CA,-22.95,total postings,Accounting
2020-11-12,CA,-22.93,total postings,Accounting
2020-11-13,CA,-22.79,total postings,Accounting
2020-11-14,CA,-22.88,total postings,Accounting
2020-11-15,CA,-22.64,total postings,Accounting
2020-11-16,CA,-22.32,total postings,Accounting
2020-11-17,CA,-21.92,total postings,Accounting
2020-11-18,CA,-21.48,total postings,Accounting
2020-11-19,CA,-21.06,total postings,Accounting
2020-11-20,CA,-20.77,total postings,Accounting
2020-11-21,CA,-20.23,total postings,Accounting
2020-11-22,CA,-19.97,total postings,Accounting
2020-11-23,CA,-19.67,total postings,Accounting
2020-11-24,CA,-19.39,total postings,Accounting
2020-11-25,CA,-19.17,total postings,Accounting
2020-11-26,CA,-18.82,total postings,Accounting
2020-11-27,CA,-18.37,total postings,Accounting
2020-11-28,CA,-17.97,total postings,Accounting
2020-11-29,CA,-17.68,total postings,Accounting
2020-11-30,CA,-17.45,total postings,Accounting
2020-12-01,CA,-17.46,total postings,Accounting
2020-12-02,CA,-17.46,total postings,Accounting
2020-12-03,CA,-17.52,total postings,Accounting
2020-12-04,CA,-17.66,total postings,Accounting
2020-12-05,CA,-17.84,total postings,Accounting
2020-12-06,CA,-17.94,total postings,Accounting
2020-12-07,CA,-18.04,total postings,Accounting
2020-12-08,CA,-17.89,total postings,Accounting
2020-12-09,CA,-17.77,total postings,Accounting
2020-12-10,CA,-17.56,total postings,Accounting
2020-12-11,CA,-17.25,total postings,Accounting
2020-12-12,CA,-17.09,total postings,Accounting
2020-12-13,CA,-16.62,total postings,Accounting
2020-12-14,CA,-16.15,total postings,Accounting
2020-12-15,CA,-15.78,total postings,Accounting
2020-12-16,CA,-15.4,total postings,Accounting
2020-12-17,CA,-15.37,total postings,Accounting
2020-12-18,CA,-15.43,total postings,Accounting
2020-12-19,CA,-15.34,total postings,Accounting
2020-12-20,CA,-15.49,total postings,Accounting
2020-12-21,CA,-15.64,total postings,Accounting
2020-12-22,CA,-15.75,total postings,Accounting
2020-12-23,CA,-15.97,total postings,Accounting
2020-12-24,CA,-16.01,total postings,Accounting
2020-12-25,CA,-16.16,total postings,Accounting
2020-12-26,CA,-16.31,total postings,Accounting
2020-12-27,CA,-16.42,total postings,Accounting
2020-12-28,CA,-16.47,total postings,Accounting
2020-12-29,CA,-16.5,total postings,Accounting
2020-12-30,CA,-16.48,total postings,Accounting
2020-12-31,CA,-16.48,total postings,Accounting
2021-01-01,CA,-16.55,total postings,Accounting
2021-01-02,CA,-16.69,total postings,Accounting
2021-01-03,CA,-16.91,total postings,Accounting
2021-01-04,CA,-17.21,total postings,Accounting
2021-01-05,CA,-17.44,total postings,Accounting
2021-01-06,CA,-17.51,total postings,Accounting
2021-01-07,CA,-17.4,total postings,Accounting
2021-01-08,CA,-16.84,total postings,Accounting
2021-01-09,CA,-16.05,total postings,Accounting
2021-01-10,CA,-15.28,total postings,Accounting
2021-01-11,CA,-14.61,total postings,Accounting
2021-01-12,CA,-14.08,total postings,Accounting
2021-01-13,CA,-13.42,total postings,Accounting
2021-01-14,CA,-12.89,total postings,Accounting
2021-01-15,CA,-12.57,total postings,Accounting
2021-01-16,CA,-12.26,total postings,Accounting
2021-01-17,CA,-12.02,total postings,Accounting
2021-01-18,CA,-11.75,total postings,Accounting
2021-01-19,CA,-11.26,total postings,Accounting
2021-01-20,CA,-11,total postings,Accounting
2021-01-21,CA,-10.72,total postings,Accounting
2021-01-22,CA,-10.47,total postings,Accounting
2021-01-23,CA,-10.6,total postings,Accounting
2021-01-24,CA,-10.26,total postings,Accounting
2021-01-25,CA,-9.69,total postings,Accounting
2021-01-26,CA,-9.15,total postings,Accounting
2021-01-27,CA,-8.63,total postings,Accounting
2021-01-28,CA,-8.03,total postings,Accounting
2021-01-29,CA,-7.35,total postings,Accounting
2021-01-30,CA,-6.39,total postings,Accounting
2021-01-31,CA,-5.71,total postings,Accounting
2021-02-01,CA,-5.29,total postings,Accounting
2021-02-02,CA,-5.12,total postings,Accounting
2021-02-03,CA,-4.96,total postings,Accounting
2021-02-04,CA,-4.94,total postings,Accounting
2021-02-05,CA,-4.85,total postings,Accounting
2021-02-06,CA,-4.54,total postings,Accounting
2021-02-07,CA,-4.32,total postings,Accounting
2021-02-08,CA,-4.02,total postings,Accounting
2021-02-09,CA,-3.41,total postings,Accounting
2021-02-10,CA,-2.86,total postings,Accounting
2021-02-11,CA,-2.22,total postings,Accounting
2021-02-12,CA,-1.69,total postings,Accounting
2021-02-13,CA,-1.28,total postings,Accounting
2021-02-14,CA,-0.75,total postings,Accounting
2021-02-15,CA,-0.34,total postings,Accounting
2021-02-16,CA,-0.29,total postings,Accounting
2021-02-17,CA,-0.22,total postings,Accounting
2021-02-18,CA,-0.19,total postings,Accounting
2021-02-19,CA,-0.05,total postings,Accounting
2021-02-20,CA,-0.14,total postings,Accounting
2021-02-21,CA,-0.1,total postings,Accounting
2021-02-22,CA,0.09,total postings,Accounting
2021-02-23,CA,0.43,total postings,Accounting
2021-02-24,CA,0.9,total postings,Accounting
2021-02-25,CA,1.57,total postings,Accounting
2021-02-26,CA,2.09,total postings,Accounting
2021-02-27,CA,2.63,total postings,Accounting
2021-02-28,CA,3.06,total postings,Accounting
2021-03-01,CA,3.32,total postings,Accounting
2021-03-02,CA,3.64,total postings,Accounting
2021-03-03,CA,4.12,total postings,Accounting
2021-03-04,CA,4.65,total postings,Accounting
2021-03-05,CA,5.27,total postings,Accounting
2021-03-06,CA,5.78,total postings,Accounting
2021-03-07,CA,6.36,total postings,Accounting
2021-03-08,CA,7.01,total postings,Accounting
2021-03-09,CA,7.65,total postings,Accounting
2021-03-10,CA,8.1,total postings,Accounting
2021-03-11,CA,8.31,total postings,Accounting
2021-03-12,CA,8.34,total postings,Accounting
2021-03-13,CA,8.7,total postings,Accounting
2021-03-14,CA,8.71,total postings,Accounting
2021-03-15,CA,8.72,total postings,Accounting
2021-03-16,CA,8.66,total postings,Accounting
2021-03-17,CA,8.51,total postings,Accounting
2021-03-18,CA,8.5,total postings,Accounting
2021-03-19,CA,8.59,total postings,Accounting
2021-03-20,CA,9.2,total postings,Accounting
2021-03-21,CA,9.88,total postings,Accounting
2021-03-22,CA,10.36,total postings,Accounting
2021-03-23,CA,10.96,total postings,Accounting
2021-03-24,CA,11.65,total postings,Accounting
2021-03-25,CA,12.19,total postings,Accounting
2021-03-26,CA,12.66,total postings,Accounting
2021-03-27,CA,12.6,total postings,Accounting
2021-03-28,CA,12.59,total postings,Accounting
2021-03-29,CA,12.95,total postings,Accounting
2021-03-30,CA,13.31,total postings,Accounting
2021-03-31,CA,13.72,total postings,Accounting
2021-04-01,CA,14.12,total postings,Accounting
2021-04-02,CA,14.61,total postings,Accounting
2021-04-03,CA,14.87,total postings,Accounting
2021-04-04,CA,15.23,total postings,Accounting
2021-04-05,CA,15.52,total postings,Accounting
2021-04-06,CA,15.62,total postings,Accounting
2021-04-07,CA,15.41,total postings,Accounting
2021-04-08,CA,15.22,total postings,Accounting
2021-04-09,CA,14.85,total postings,Accounting
2021-04-10,CA,14.31,total postings,Accounting
2021-04-11,CA,13.81,total postings,Accounting
2021-04-12,CA,13.41,total postings,Accounting
2021-04-13,CA,13.12,total postings,Accounting
2021-04-14,CA,13.12,total postings,Accounting
2021-04-15,CA,13.26,total postings,Accounting
2021-04-16,CA,13.2,total postings,Accounting
2021-04-17,CA,13.47,total postings,Accounting
2021-04-18,CA,13.61,total postings,Accounting
2021-04-19,CA,13.68,total postings,Accounting
2021-04-20,CA,13.64,total postings,Accounting
2021-04-21,CA,13.6,total postings,Accounting
2021-04-22,CA,13.55,total postings,Accounting
2021-04-23,CA,13.91,total postings,Accounting
2021-04-24,CA,14.32,total postings,Accounting
2021-04-25,CA,14.69,total postings,Accounting
2021-04-26,CA,15,total postings,Accounting
2021-04-27,CA,15.28,total postings,Accounting
2021-04-28,CA,15.46,total postings,Accounting
2021-04-29,CA,15.52,total postings,Accounting
2021-04-30,CA,15.36,total postings,Accounting
2021-05-01,CA,14.85,total postings,Accounting
2021-05-02,CA,14.52,total postings,Accounting
